"date","campaign","country","product","clicks","orders"
2019-03-01,"qSR4OgTysj","A","XEL",3,0
2019-03-01,"NzHceQoVJD","A","XEL",1,0
2019-03-01,"QXtu7RdlMK","A","XEL",14,0
2019-03-01,"DrEsWNLqj9","A","ERX",3,0
2019-03-01,"a1nzp8erhb","A","ERX",1,0
2019-03-01,"WCaomv8YIc","A","XEL",7,0
2019-03-01,"v0yWo9Vcad","A","ERX",2,0
2019-03-01,"Q1DY9uVmC6","A","XEL",7,0
2019-03-01,"s5cVyF3j2P","A","ERX",8,0
2019-03-01,"suzH8jZ1bv","A","ERX",3,0
2019-03-01,"SrPeFX0BEZ","A","XEL",18,0
2019-03-01,"qUcoYROe85","A","XEL",23,0
2019-03-01,"1JWBESHbdt","A","ERX",28,0
2019-03-01,"93rUiWeC21","A","ERX",58,0
2019-03-01,"y2TpLfkIXV","A","XEL",23,0
2019-03-01,"GWMK3i2EsQ","A","XEL",4,0
2019-03-01,"nPwZX0TfRy","A","XEL",4,0
2019-03-01,"OXuI86Giyj","A","XEL",1,0
2019-03-01,"sUrqT0fhOc","A","ERX",123,0
2019-03-01,"Htzu7EhlQ0","A","PNM",1,0
2019-03-01,"oPEYL57CXB","A","XEL",8,0
2019-03-01,"V5z7YNktWc","A","ERX",2,0
2019-03-01,"K6rvRUa3eh","A","XEL",1,0
2019-03-01,"98wsxz6nB0","A","XEL",0,0
2019-03-01,"NELDiOtRpH","A","ERX",1,0
2019-03-01,"OfTNKyGn5C","A","XEL",1,0
2019-03-01,"PJF701uhzB","A","ERX",254,1
2019-03-01,"FW9pYQ5UbZ","A","XEL",1,0
2019-03-01,"NkvK4gLRdf","A","ERX",0,0
2019-03-01,"jn8X3EqNUT","A","ERX",63,0
2019-03-01,"VOZPWxYiAb","A","XEL",2,0
2019-03-01,"F7S5NYvt3m","A","XEL",1,0
2019-03-02,"s5cVyF3j2P","A","ERX",11,0
2019-03-02,"VOZPWxYiAb","A","XEL",1,0
2019-03-02,"93rUiWeC21","A","ERX",41,0
2019-03-02,"suzH8jZ1bv","A","ERX",6,0
2019-03-02,"Q1DY9uVmC6","A","XEL",13,0
2019-03-02,"jn8X3EqNUT","A","ERX",54,0
2019-03-02,"GWMK3i2EsQ","A","XEL",4,0
2019-03-02,"v0yWo9Vcad","A","ERX",5,0
2019-03-02,"WCaomv8YIc","A","XEL",6,0
2019-03-02,"98wsxz6nB0","A","XEL",2,0
2019-03-02,"oPEYL57CXB","A","XEL",8,0
2019-03-02,"y2TpLfkIXV","A","XEL",21,0
2019-03-02,"SrPeFX0BEZ","A","XEL",14,0
2019-03-02,"PJF701uhzB","A","ERX",214,0
2019-03-02,"sUrqT0fhOc","A","ERX",126,0
2019-03-02,"nPwZX0TfRy","A","XEL",3,0
2019-03-02,"NELDiOtRpH","A","ERX",1,0
2019-03-02,"DrEsWNLqj9","A","ERX",2,0
2019-03-02,"wVTMvaCxhY","A","PNM",0,0
2019-03-02,"QXtu7RdlMK","A","XEL",7,0
2019-03-02,"qUcoYROe85","A","XEL",20,0
2019-03-02,"Htzu7EhlQ0","A","PNM",1,0
2019-03-02,"V5z7YNktWc","A","ERX",1,0
2019-03-02,"K6rvRUa3eh","A","XEL",0,0
2019-03-02,"OXuI86Giyj","A","XEL",1,0
2019-03-02,"qSR4OgTysj","A","XEL",1,0
2019-03-02,"NzHceQoVJD","A","XEL",3,0
2019-03-02,"7EA1Htwu4a","A","PNM",0,0
2019-03-02,"F7S5NYvt3m","A","XEL",1,0
2019-03-02,"a1nzp8erhb","A","ERX",2,0
2019-03-02,"1JWBESHbdt","A","ERX",21,0
2019-03-02,"NkvK4gLRdf","A","ERX",0,0
2019-03-03,"s5cVyF3j2P","A","ERX",2,0
2019-03-03,"98wsxz6nB0","A","XEL",2,0
2019-03-03,"WCaomv8YIc","A","XEL",6,0
2019-03-03,"a1nzp8erhb","A","ERX",1,0
2019-03-03,"OXuI86Giyj","A","XEL",1,0
2019-03-03,"suzH8jZ1bv","A","ERX",5,0
2019-03-03,"oPEYL57CXB","A","XEL",12,0
2019-03-03,"FW9pYQ5UbZ","A","XEL",3,0
2019-03-03,"1JWBESHbdt","A","ERX",17,0
2019-03-03,"V5z7YNktWc","A","ERX",2,0
2019-03-03,"qUcoYROe85","A","XEL",19,0
2019-03-03,"qSR4OgTysj","A","XEL",3,0
2019-03-03,"nPwZX0TfRy","A","XEL",4,0
2019-03-03,"v0yWo9Vcad","A","ERX",3,0
2019-03-03,"SrPeFX0BEZ","A","XEL",16,0
2019-03-03,"y2TpLfkIXV","A","XEL",19,0
2019-03-03,"DrEsWNLqj9","A","ERX",1,0
2019-03-03,"VOZPWxYiAb","A","XEL",2,0
2019-03-03,"NELDiOtRpH","A","ERX",1,0
2019-03-03,"jn8X3EqNUT","A","ERX",40,0
2019-03-03,"93rUiWeC21","A","ERX",37,0
2019-03-03,"QXtu7RdlMK","A","XEL",2,0
2019-03-03,"PJF701uhzB","A","ERX",227,0
2019-03-03,"7EA1Htwu4a","A","PNM",0,0
2019-03-03,"F7S5NYvt3m","A","XEL",1,0
2019-03-03,"Htzu7EhlQ0","A","PNM",0,0
2019-03-03,"GWMK3i2EsQ","A","XEL",3,0
2019-03-03,"sUrqT0fhOc","A","ERX",148,0
2019-03-03,"Q1DY9uVmC6","A","XEL",5,0
2019-03-03,"NzHceQoVJD","A","XEL",2,0
2019-03-03,"OfTNKyGn5C","A","XEL",0,0
2019-03-03,"NkvK4gLRdf","A","ERX",0,0
2019-03-03,"K6rvRUa3eh","A","XEL",4,0
2019-03-04,"s5cVyF3j2P","A","ERX",4,0
2019-03-04,"1JWBESHbdt","A","ERX",17,0
2019-03-04,"qUcoYROe85","A","XEL",18,0
2019-03-04,"NzHceQoVJD","A","XEL",1,0
2019-03-04,"GWMK3i2EsQ","A","XEL",3,0
2019-03-04,"PJF701uhzB","A","ERX",216,1
2019-03-04,"a1nzp8erhb","A","ERX",1,0
2019-03-04,"V5z7YNktWc","A","ERX",2,0
2019-03-04,"suzH8jZ1bv","A","ERX",6,0
2019-03-04,"F7S5NYvt3m","A","XEL",1,0
2019-03-04,"93rUiWeC21","A","ERX",32,0
2019-03-04,"WCaomv8YIc","A","XEL",3,0
2019-03-04,"v0yWo9Vcad","A","ERX",4,0
2019-03-04,"FW9pYQ5UbZ","A","XEL",2,0
2019-03-04,"nPwZX0TfRy","A","XEL",5,0
2019-03-04,"y2TpLfkIXV","A","XEL",18,0
2019-03-04,"Q1DY9uVmC6","A","XEL",8,0
2019-03-04,"98wsxz6nB0","A","XEL",2,0
2019-03-04,"oPEYL57CXB","A","XEL",15,0
2019-03-04,"sUrqT0fhOc","A","ERX",132,0
2019-03-04,"jn8X3EqNUT","A","ERX",45,0
2019-03-04,"qSR4OgTysj","A","XEL",1,0
2019-03-04,"K6rvRUa3eh","A","XEL",1,0
2019-03-04,"NELDiOtRpH","A","ERX",1,0
2019-03-04,"VOZPWxYiAb","A","XEL",0,0
2019-03-04,"SrPeFX0BEZ","A","XEL",18,0
2019-03-04,"NkvK4gLRdf","A","ERX",0,0
2019-03-04,"DrEsWNLqj9","A","ERX",1,0
2019-03-05,"nPwZX0TfRy","A","XEL",2,0
2019-03-05,"VOZPWxYiAb","A","XEL",3,0
2019-03-05,"V5z7YNktWc","A","ERX",2,0
2019-03-05,"sUrqT0fhOc","A","ERX",107,0
2019-03-05,"oPEYL57CXB","A","XEL",19,0
2019-03-05,"qUcoYROe85","A","XEL",17,0
2019-03-05,"v0yWo9Vcad","A","ERX",2,0
2019-03-05,"1JWBESHbdt","A","ERX",17,0
2019-03-05,"K6rvRUa3eh","A","XEL",1,0
2019-03-05,"DrEsWNLqj9","A","ERX",5,0
2019-03-05,"GWMK3i2EsQ","A","XEL",2,0
2019-03-05,"suzH8jZ1bv","A","ERX",10,0
2019-03-05,"y2TpLfkIXV","A","XEL",24,0
2019-03-05,"NELDiOtRpH","A","ERX",1,0
2019-03-05,"WCaomv8YIc","A","XEL",6,0
2019-03-05,"NzHceQoVJD","A","XEL",1,0
2019-03-05,"OXuI86Giyj","A","XEL",1,0
2019-03-05,"jn8X3EqNUT","A","ERX",51,0
2019-03-05,"qSR4OgTysj","A","XEL",3,0
2019-03-05,"T2UzpGnvIK","A","ERX",1,0
2019-03-05,"93rUiWeC21","A","ERX",33,0
2019-03-05,"Q1DY9uVmC6","A","XEL",9,0
2019-03-05,"98wsxz6nB0","A","XEL",0,0
2019-03-05,"PJF701uhzB","A","ERX",224,0
2019-03-05,"QXtu7RdlMK","A","XEL",0,0
2019-03-05,"F7S5NYvt3m","A","XEL",1,0
2019-03-05,"s5cVyF3j2P","A","ERX",6,0
2019-03-05,"NkvK4gLRdf","A","ERX",0,0
2019-03-05,"SrPeFX0BEZ","A","XEL",23,0
2019-03-05,"FW9pYQ5UbZ","A","XEL",1,0
2019-03-06,"s5cVyF3j2P","A","ERX",9,0
2019-03-06,"93rUiWeC21","A","ERX",21,0
2019-03-06,"nPwZX0TfRy","A","XEL",7,0
2019-03-06,"Q1DY9uVmC6","A","XEL",10,0
2019-03-06,"suzH8jZ1bv","A","ERX",12,0
2019-03-06,"qUcoYROe85","A","XEL",18,0
2019-03-06,"sUrqT0fhOc","A","ERX",95,0
2019-03-06,"QXtu7RdlMK","A","XEL",3,0
2019-03-06,"WCaomv8YIc","A","XEL",10,0
2019-03-06,"v0yWo9Vcad","A","ERX",12,0
2019-03-06,"qSR4OgTysj","A","XEL",1,0
2019-03-06,"V5z7YNktWc","A","ERX",2,0
2019-03-06,"DrEsWNLqj9","A","ERX",2,0
2019-03-06,"GWMK3i2EsQ","A","XEL",4,0
2019-03-06,"y2TpLfkIXV","A","XEL",24,0
2019-03-06,"jn8X3EqNUT","A","ERX",29,0
2019-03-06,"oPEYL57CXB","A","XEL",8,0
2019-03-06,"1JWBESHbdt","A","ERX",22,0
2019-03-06,"FW9pYQ5UbZ","A","XEL",0,0
2019-03-06,"T2UzpGnvIK","A","ERX",1,0
2019-03-06,"PJF701uhzB","A","ERX",218,1
2019-03-06,"SrPeFX0BEZ","A","XEL",19,0
2019-03-06,"OXuI86Giyj","A","XEL",2,0
2019-03-06,"NzHceQoVJD","A","XEL",1,0
2019-03-06,"F7S5NYvt3m","A","XEL",1,0
2019-03-06,"VOZPWxYiAb","A","XEL",15,0
2019-03-06,"98wsxz6nB0","A","XEL",1,0
2019-03-06,"wVTMvaCxhY","A","PNM",0,0
2019-03-06,"K6rvRUa3eh","A","XEL",0,0
2019-03-06,"NkvK4gLRdf","A","ERX",0,0
2019-03-06,"a1nzp8erhb","A","ERX",0,0
2019-03-06,"NELDiOtRpH","A","ERX",1,0
2019-03-07,"SrPeFX0BEZ","A","XEL",18,0
2019-03-07,"Q1DY9uVmC6","A","XEL",6,0
2019-03-07,"suzH8jZ1bv","A","ERX",8,0
2019-03-07,"VOZPWxYiAb","A","XEL",22,0
2019-03-07,"QXtu7RdlMK","A","XEL",4,0
2019-03-07,"sUrqT0fhOc","A","ERX",109,0
2019-03-07,"V5z7YNktWc","A","ERX",3,0
2019-03-07,"qUcoYROe85","A","XEL",16,0
2019-03-07,"93rUiWeC21","A","ERX",5,0
2019-03-07,"v0yWo9Vcad","A","ERX",4,0
2019-03-07,"NELDiOtRpH","A","ERX",1,0
2019-03-07,"DrEsWNLqj9","A","ERX",2,0
2019-03-07,"a1nzp8erhb","A","ERX",2,0
2019-03-07,"F7S5NYvt3m","A","XEL",1,0
2019-03-07,"jn8X3EqNUT","A","ERX",17,0
2019-03-07,"NzHceQoVJD","A","XEL",5,0
2019-03-07,"T2UzpGnvIK","A","ERX",0,0
2019-03-07,"nPwZX0TfRy","A","XEL",4,0
2019-03-07,"y2TpLfkIXV","A","XEL",18,0
2019-03-07,"qSR4OgTysj","A","XEL",2,0
2019-03-07,"PJF701uhzB","A","ERX",221,0
2019-03-07,"1JWBESHbdt","A","ERX",28,0
2019-03-07,"K6rvRUa3eh","A","XEL",2,0
2019-03-07,"FW9pYQ5UbZ","A","XEL",0,0
2019-03-07,"oPEYL57CXB","A","XEL",10,0
2019-03-07,"OXuI86Giyj","A","XEL",1,0
2019-03-07,"NkvK4gLRdf","A","ERX",0,0
2019-03-07,"WCaomv8YIc","A","XEL",7,0
2019-03-07,"s5cVyF3j2P","A","ERX",4,0
2019-03-07,"GWMK3i2EsQ","A","XEL",4,0
2019-03-07,"xKoP3iJ2ry","A","XEL",1,0
2019-03-07,"OfTNKyGn5C","A","XEL",0,0
2019-03-07,"98wsxz6nB0","A","XEL",2,0
2019-03-08,"suzH8jZ1bv","A","ERX",7,0
2019-03-08,"OXuI86Giyj","A","XEL",9,0
2019-03-08,"1JWBESHbdt","A","ERX",31,0
2019-03-08,"K6rvRUa3eh","A","XEL",2,0
2019-03-08,"y2TpLfkIXV","A","XEL",24,0
2019-03-08,"qSR4OgTysj","A","XEL",1,0
2019-03-08,"nPwZX0TfRy","A","XEL",5,0
2019-03-08,"jn8X3EqNUT","A","ERX",15,0
2019-03-08,"v0yWo9Vcad","A","ERX",6,0
2019-03-08,"qUcoYROe85","A","XEL",22,0
2019-03-08,"Q1DY9uVmC6","A","XEL",12,0
2019-03-08,"DrEsWNLqj9","A","ERX",0,0
2019-03-08,"98wsxz6nB0","A","XEL",1,0
2019-03-08,"VOZPWxYiAb","A","XEL",23,0
2019-03-08,"WCaomv8YIc","A","XEL",4,0
2019-03-08,"sUrqT0fhOc","A","ERX",107,0
2019-03-08,"SrPeFX0BEZ","A","XEL",18,0
2019-03-08,"V5z7YNktWc","A","ERX",2,0
2019-03-08,"QXtu7RdlMK","A","XEL",10,0
2019-03-08,"NkvK4gLRdf","A","ERX",0,0
2019-03-08,"F7S5NYvt3m","A","XEL",1,0
2019-03-08,"s5cVyF3j2P","A","ERX",7,0
